method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
randomized,0.2,0.31517210428886366,0.046246676989897484,0.024265468024266545,0.47852520930026265,true,0.22606160839133765
randomized,0.2,0.1739591463639677,0.7867894684894483,-0.09703885626409134,0.21725521209306564,true,0.03692001274170459
randomized,0.2,0.2070001194699218,0.3249650501500181,-0.0483769397973611,0.2665012723969793,true,0.09589609261360625
randomized,0.2,0.14437756909400698,0.5144094999829085,-0.09315870025943689,0.2683404351766524,true,0.07496876955579858
randomized,0.2,0.20152476334333844,0.003619453906096748,0.14146556103027438,0.5480094548643778,true,0.34890026898604326
randomized,0.2,0.1806517993906299,0.008286705771194391,0.07732028375202774,0.4058243298812987,true,0.23598785365900643
randomized,0.2,0.2056975728254227,0.0701989258424045,0.011040449604037043,0.3679267103169198,true,0.16720380634338974
randomized,0.2,0.17310335140687208,0.6249786002377893,-0.14614101223329004,0.26199279980636847,true,0.06000891259726733
randomized,0.2,0.14312484243035245,0.07635898697667276,0.016948798668848734,0.4257869241845109,true,0.22611056923357484
randomized,0.2,0.23580568315376346,0.006877447300409845,0.13664253333179843,0.5383008119081784,true,0.34233525149316335
randomized,0.2,0.27133385071387733,0.19377129664685544,-0.028242121897756635,0.3490775287693047,true,0.14252283974485844
randomized,0.2,0.2710027068430364,0.028258160276677158,0.06370574015361875,0.4426178765905477,true,0.2572786439533226
randomized,0.2,0.1700912667449041,0.9522071483792618,-0.11400444233423215,0.20446297810317624,true,0.01756142504197465
randomized,0.2,0.27337741831029305,0.020156293149274696,0.06820764159235904,0.5006144146534793,true,0.28684241035955965
randomized,0.2,0.30187958461953146,0.07331170651498442,0.009551535604757591,0.3831551705342689,true,0.16932895415461152
randomized,0.2,0.19991457280537817,0.06293340583126628,0.018281147803904902,0.3846436958558875,true,0.1914095448580485
randomized,0.2,0.23407263094531455,0.0658391364765516,0.014820386742458686,0.38990158037387135,true,0.18958294196499298
randomized,0.2,0.20836263153226728,0.18715688097219862,-0.02568605730391983,0.3352453194781268,true,0.1407093127880277
randomized,0.2,0.2240884997548577,0.0074639558901359315,0.10671206369275413,0.5194886326347813,true,0.31701827652044795
randomized,0.2,0.2765424965405131,0.04536032947177149,0.027830806422094453,0.3522583019454894,true,0.18638861427761513
randomized,0.2,0.14964985913228587,0.062189764501693556,0.022145743997794957,0.452676547008417,true,0.2361553033460567
randomized,0.2,0.19171488888055985,0.08719450264118045,0.008176824711417147,0.4036947501593218,true,0.20770235171665347
randomized,0.2,0.1884951044646829,0.009574505908740871,0.13051442396834256,0.5843921574033112,true,0.3574485640629918
randomized,0.2,0.2246756491443057,0.0402581560599673,0.03328897754131571,0.4207395726795823,true,0.21581580462129152
randomized,0.2,0.165196062910458,0.022634468101011107,0.07415493705138593,0.5216121255040596,true,0.30153851117124164
randomized,0.2,0.14942785734410272,0.0016012783551220267,0.19326274487597098,0.5766811129723558,false,0.3891129765618743
randomized,0.2,0.2082316044189078,0.021953336805442314,0.08645290813863418,0.4908250129861189,true,0.29355973234839683
randomized,0.2,0.3355732645546441,0.02480870820389569,0.07791419262391626,0.5301157940967232,true,0.3087892096620439
randomized,0.2,0.23645162931975114,0.0003877913131389299,0.19813040301160803,0.5083977821893984,true,0.35561313141117107
randomized,0.2,0.2550728624186966,0.002475129746972504,0.16680252148240882,0.5903527902605415,true,0.3782950826617103
randomized,0.2,0.1843164871371949,0.25515227898542525,-0.05165913512384985,0.3688609650858463,true,0.14868653000345824
randomized,0.2,0.2265112973286582,0.0038104159897704992,0.08516121525408285,0.47795300604601293,true,0.270535364579119
randomized,0.2,0.23757972843432695,0.8242724039822066,-0.27945269380149557,0.2085061194334136,false,-0.033820175315760856
randomized,0.2,0.1914009805926326,0.017521588989592995,0.058055918348127636,0.3995682892032044,true,0.22703778442270708
randomized,0.2,0.20115740023113482,0.005987704328917376,0.12878722368652698,0.47817631801795313,true,0.30698973351300196
randomized,0.2,0.24790004471586713,0.04415611302368361,0.05586764809516207,0.5206313597502263,true,0.29315354259065324
randomized,0.2,0.2026898553932903,0.027675392028996715,0.07257917283303039,0.4708251724762129,true,0.27629185771147713
randomized,0.2,0.2620699896514712,0.005253660731735499,0.11984178461762664,0.4882333101380163,true,0.3081615012693915
randomized,0.2,0.18498797439820874,0.22866295146596416,-0.023996500802852403,0.2890991153615257,true,0.09869411905939324
randomized,0.2,0.22321955241779862,0.0022303194902124623,0.1356043419484531,0.4949572237017303,true,0.3192985883568889
randomized,0.2,0.19670839143293983,0.3377597781267285,-0.08224159434828557,0.3299735456416109,true,0.12216900864314774
randomized,0.2,0.23183217817675364,0.0038028762965671703,0.13847300012012928,0.5030690168885529,true,0.3246563966418319
randomized,0.2,0.1813836588132799,0.5076827818064736,-0.327733133878637,0.1379834193663885,false,-0.09408910376878216
randomized,0.2,0.2602262721265501,0.058968338929477726,0.01568531064418441,0.3659865641272086,true,0.1650158796156286
randomized,0.2,0.20646877102191633,0.0034058319772789503,0.10906018866207368,0.4274044918925119,true,0.27042796629222654
randomized,0.2,0.10665824663428997,0.000033180880486538555,0.2999522136309064,0.653051140662478,false,0.4786558331138607
randomized,0.2,0.16371741436737897,0.25025652659480735,-0.07101123103271349,0.3867107970083035,true,0.1609671017601758
randomized,0.2,0.16140756056053202,0.0025677282850891103,0.10293114616248518,0.49374597049895214,true,0.2918424943822425
randomized,0.2,0.24289140103667978,0.7109448803881844,-0.09075313234284953,0.24632127305328919,true,0.04516748295113157
randomized,0.2,0.19956062500372873,0.10462254930266024,-0.0031605284213398997,0.45465693785169115,true,0.22931064879444873
randomized,0.2,0.19166256692473613,0.056640963818684664,0.023353573156176193,0.39168247216200297,true,0.20172777927035251
randomized,0.2,0.20943905930516518,0.031003364264612365,0.04431204978566352,0.46425777616783426,true,0.2489007685132223
randomized,0.2,0.1571391820881903,0.3762668175551771,-0.07528662629951585,0.31068244569110154,true,0.10730467367228126
randomized,0.2,0.20718819079338238,0.03261019709753499,0.060115386613124044,0.4281361446172097,true,0.24850294518152602
randomized,0.2,0.21367286092508472,0.8769949974172224,-0.07370014824703484,0.1621136429656279,false,0.034175279803822116
randomized,0.2,0.17432263230050474,0.35553124746519993,-0.09317591922810226,0.3222618924619606,true,0.116845074134854
randomized,0.2,0.23221574367485381,0.026865731500554713,0.06803604340125655,0.4373473699333562,true,0.2565646487815581
randomized,0.2,0.21119612766688517,0.012450908967713614,0.10376050919240046,0.5149888516302228,true,0.30867298979258107
randomized,0.2,0.23311975421153594,0.34459300461040954,-0.03905888533331264,0.24280963909625508,true,0.07978729619566653
randomized,0.2,0.16344504790474768,0.27415354634888334,-0.08392984206128584,0.39372831080228515,true,0.1598137440008166
randomized,0.2,0.2335336554556431,0.03215092827056365,0.03683088952684468,0.39161780470378776,true,0.20919620265564645
randomized,0.2,0.23696991764280578,0.029401680767453087,0.0803821458116882,0.5690269956762048,true,0.3252460482300876
randomized,0.2,0.18865315075997985,0.20533331084739959,-0.03410696694008623,0.36702968220511606,true,0.1547455537252118
randomized,0.2,0.16053565316381033,0.5027739692761501,-0.059200953937901916,0.18152713750098737,true,0.06135276981814463
randomized,0.2,0.15534302130352967,0.08606738699508476,0.004676814678503347,0.329896470303378,true,0.14618187918641234
randomized,0.2,0.20607243937999367,0.03554953732324129,0.04920788517521252,0.39505738977242383,true,0.22493010148569023
randomized,0.2,0.2113626038952872,0.5890092058662983,-0.1438928970879159,0.12932466292616046,false,-0.02684709427795797
randomized,0.2,0.20680337363777546,0.29478733058277506,-0.03994897087429719,0.2576409787035526,true,0.09297359913873131
randomized,0.2,0.34798697527030176,0.03783360387495183,0.04979532191381714,0.5381224079366705,true,0.291891431422244
randomized,0.2,0.14169689473135708,0.7471630081135863,-0.08223147388170861,0.20465727327986,true,0.041081084740995436
randomized,0.2,0.19195707726398242,0.06665430809819828,0.025181653095169034,0.4346723577587328,true,0.23458655844221837
randomized,0.2,0.16033122431741703,0.02239505098950967,0.0509921647325876,0.3697495946922614,true,0.19847208120792056
randomized,0.2,0.1943414473819621,0.07857020533711134,0.010318880080032065,0.3852427569542472,true,0.19252566089693185
randomized,0.2,0.18083830004986876,0.1661540963585959,-0.01938134451625468,0.32153067248748546,true,0.1362778888200405
randomized,0.2,0.13673736888112045,0.16341050579733074,-0.0360066916101834,0.42224769044557053,true,0.19594213205327754
randomized,0.2,0.19569783477366304,0.1671318395906718,-0.020140663600500174,0.35913539155369123,true,0.14134733452308912
randomized,0.2,0.24336337230208246,0.01760876722761906,0.07384627450441104,0.5282327869723301,true,0.2979792091476126
randomized,0.2,0.2445395951488298,0.1678381171865122,-0.017450141132638736,0.34211953647479865,true,0.13725546718454543
randomized,0.2,0.19119943660629257,0.7051699111826393,-0.3341308729924907,0.20292329923870145,true,-0.06307123554790246
randomized,0.2,0.31576795062657265,0.003093094556302356,0.18101598473320044,0.5968444248394026,true,0.39378168776118777
randomized,0.2,0.1788863450782387,0.08030600087706108,0.009196354628693634,0.3597584858270773,true,0.18325098428371817
randomized,0.2,0.22668723082182213,0.36979763928035037,-0.07709697373049779,0.32451666295992365,true,0.11454638877680517
randomized,0.2,0.16206273252079229,0.08796076403878605,0.007347970575307348,0.39071902833576405,true,0.20261884648980288
randomized,0.2,0.203055364973714,0.12506062070593904,-0.011660793720450176,0.3912736249220776,true,0.18805067707254258
randomized,0.2,0.17907740297458466,0.0019257313894811556,0.2098551255025635,0.635252408310417,false,0.42808598156828354
randomized,0.2,0.261861652080608,0.6705614474671551,-0.0780104647080125,0.26240849578308434,true,0.0530894217400658
randomized,0.2,0.1802926395447468,0.24307252618176722,-0.058684241932184335,0.3233087846771708,true,0.13666498778665967
randomized,0.2,0.18680565408016214,0.15513964126922497,-0.028421235406629677,0.3729983407629843,true,0.1757860560045912
randomized,0.2,0.2181572731039237,0.9771674509272072,-0.22106690384657607,0.2190248244707139,true,0.0021478546648562354
randomized,0.2,0.13375217456953106,0.507469441621426,-0.06541942049710155,0.30843569694847944,true,0.08092553246077173
randomized,0.2,0.17589478717442666,0.24099208433089858,-0.03520209549109718,0.2904253842376328,true,0.11190654427306734
randomized,0.2,0.23664206124080078,0.000990647223251484,0.2108004830148343,0.6313251539693144,true,0.4206172677200195
randomized,0.2,0.1820982492480571,0.00013097548515528246,0.21052094784119194,0.5497513836185429,false,0.38056770696967646
randomized,0.2,0.1756287546296894,0.017348061319167662,0.09761777261783125,0.503355467630713,true,0.30504992405826353
randomized,0.2,0.1192003986897909,0.6945532126413168,-0.15468903771002812,0.24131572025443293,true,0.04585216768986205
