method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
randomized,0.2,0.15126115803249238,0.6643833192602931,-0.16248339545549303,0.14515262019444364,false,-0.03465505645526018
randomized,0.2,0.26117162240608727,0.0378018956179218,0.048655070118756416,0.3965992514259945,true,0.22604819970676507
randomized,0.2,0.2153509194183165,0.8872093940387791,-0.12225454919158403,0.16755039534926755,false,0.007851036520799815
randomized,0.2,0.060010015150761924,0.23927715261504123,-0.06486295037273518,0.36658592875453855,true,0.1557525725549168
randomized,0.2,0.23742227393610998,0.000024272465617869443,0.3068301804904722,0.665659342142147,false,0.4873262468050118
randomized,0.2,0.12943604400944098,0.04906058363266563,0.04816685270846718,0.5080215125719351,true,0.28314879812885957
randomized,0.2,0.272283541447743,0.00009333766114205666,0.23284461443722643,0.5853298253542436,true,0.4076917552189426
randomized,0.2,0.1295773614493789,0.09841514202707824,0.0010303385618421876,0.40842378943431945,true,0.20977565692834563
randomized,0.2,0.1995299242123178,0.10519655533758243,-0.001497509985249056,0.3108685772578535,true,0.1286496489950273
randomized,0.2,0.23264597446576088,0.04645691222545012,0.031013712436242395,0.36754185629800995,true,0.1984801475061947
randomized,0.2,0.2477212752550159,0.1074272394596214,-0.004303535280526505,0.37755528662014587,true,0.19071117687586306
randomized,0.2,0.18078122836892602,0.07870194671408126,0.01533653942187474,0.4265339533480907,true,0.22618744383007017
randomized,0.2,0.23956385243842615,0.0013858158914943353,0.17832544976716297,0.5480663035006045,true,0.36310748288897077
randomized,0.2,0.23717850284478947,0.3859693509401909,-0.0471737679031867,0.3034439702493091,true,0.09152673280422449
randomized,0.2,0.15926968012982107,0.7345230957459716,-0.09654554555498684,0.25931037325614636,true,0.04619827717063931
randomized,0.2,0.23932119830430781,0.011504534134945343,0.07761469572243729,0.34971340035012893,true,0.21594409520691782
randomized,0.2,0.21042977136756555,0.0024044741342454934,0.13699252970960882,0.527264092065264,true,0.33584230636520257
randomized,0.2,0.22456786497319547,0.11826070038174796,-0.009117518708660453,0.3728801927593419,true,0.18287610711828645
randomized,0.2,0.14790209907739163,0.07741513996856031,0.007234643353689165,0.2959100673442659,true,0.13377161995447984
randomized,0.2,0.25486750840116684,0.008587208142804226,0.11746677712014642,0.49541612196495793,true,0.3107225717584484
randomized,0.2,0.13495560047730473,0.8683423656861802,-0.21193964537285226,0.24871186148937444,true,0.021652401062315956
randomized,0.2,0.21396461327665559,0.3309044849592706,-0.12150518422534663,0.4501636573892368,true,0.16822050588873924
randomized,0.2,0.23502222768742198,0.17703756924746283,-0.025748086534799833,0.44496938950163406,true,0.17680159581787663
randomized,0.2,0.289290922732822,0.08233437154099055,0.010569685290322341,0.38573933262465726,true,0.2005704180655074
randomized,0.2,0.16005177343588098,0.39643654171439024,-0.042605479665556306,0.12516179495232865,false,0.050431352168146565
randomized,0.2,0.23564771799596487,0.07172780589231964,0.008037028695645043,0.33270249756857784,true,0.12977346493044395
randomized,0.2,0.24135989049485032,0.3466294775177272,-0.049273858946864375,0.21714203582597572,false,0.08056040072910893
randomized,0.2,0.2790224870661029,0.09355439410258382,0.0036434861666445237,0.36306542871064523,true,0.18604858997377544
randomized,0.2,0.25675981392970687,0.13869269133634665,-0.011759962015032429,0.26015593982089696,true,0.12443288943085162
randomized,0.2,0.07759780147661201,0.3034618937376843,-0.43229684847207234,0.09623212535361561,true,-0.16551269126205959
randomized,0.2,0.23404608406888816,0.0037114787984704467,0.16817078607261296,0.6809478037270068,true,0.42427071050919946
randomized,0.2,0.14052087591506235,0.27241914087840424,-0.035703823138865554,0.33878086458072504,true,0.11436895553880896
randomized,0.2,0.18151094838867424,0.1575643920899128,-0.011172562060693845,0.3063752367480365,true,0.10591453034074627
randomized,0.2,0.26759791008408973,0.0022863599242330945,0.11653712568248185,0.48302101832299593,true,0.30274295722958733
randomized,0.2,0.22898105100168398,0.028572593427006243,0.07694199887220245,0.5201846159985102,true,0.3007446846130051
randomized,0.2,0.21262789314306793,0.4906506792198382,-0.12987106933929204,0.3063195824742019,true,0.09095035319468944
randomized,0.2,0.18854744657867467,0.55807151328364,-0.15856360443913817,0.31884480210716637,true,0.08403882875416765
randomized,0.2,0.310440164953424,0.006836507483365839,0.052901699192551936,0.3569034490916712,true,0.17674940997348637
randomized,0.2,0.25684862109324513,0.002777687194592149,0.15046158375172983,0.5622619122225627,true,0.3608055704193335
randomized,0.2,0.24779589886150039,0.8101486550093153,-0.1029568056727882,0.20614427646751296,false,0.028872833930321973
randomized,0.2,0.18837715893831697,0.1272220197701559,-0.0109083114648771,0.372073195327953,true,0.17430609881054848
randomized,0.2,0.14258448706144464,0.014930408743795143,0.11394230373220389,0.5440817090299075,true,0.33462576544149397
randomized,0.2,0.21244608525185096,0.3531751942880361,-0.051311758786913526,0.33516580134073903,true,0.10553490825220546
randomized,0.2,0.22868636933975311,0.2218936286707034,-0.05326636294396281,0.34793198998023384,true,0.1500491852937581
randomized,0.2,0.12133222833160845,0.11844006887681857,-0.011698604717902671,0.4234137449341564,true,0.21076291081889315
randomized,0.2,0.16765740914351016,0.039791620895889945,0.04535795984454911,0.42464967778160556,true,0.23756754779213032
randomized,0.2,0.18086705885953888,0.001935102391777077,0.17719041920562978,0.5509065430809099,true,0.36551428967461824
randomized,0.2,0.19840940790866415,0.00620602064939102,0.11006457805524644,0.4198322967958286,true,0.26762756517839487
randomized,0.2,0.12607828997649126,0.1468465475906804,-0.027806321572486817,0.4258874056460607,true,0.20267741407535092
randomized,0.2,0.08229191865995603,0.008922287400140227,0.12535731682519477,0.5158406037043862,false,0.3237990016134987
randomized,0.2,0.27720788903951527,0.10965589384219543,-0.0032977944737497098,0.3622729772752104,true,0.16655898903081245
randomized,0.2,0.13387395088202345,0.15465281337028758,-0.024789551777674043,0.4321765842906482,true,0.1991325361124869
randomized,0.2,0.18436746096237416,0.3818266407940648,-0.4360965778512959,0.12952875659788343,false,-0.15091937897280577
randomized,0.2,0.2597790884733976,0.0035387125263777186,0.1668212429809468,0.5779288929315453,true,0.3739511616478665
randomized,0.2,0.2033660302189001,0.6981107959667732,-0.09311775476189525,0.23410729268589217,true,0.046975846475832216
randomized,0.2,0.15928550019312476,0.11597884056672725,-0.0048044347038590325,0.3171220187454647,true,0.13288082494593859
randomized,0.2,0.21491942481363138,0.3208870395867842,-0.09640849606216571,0.3877605967903645,true,0.14591978662470642
randomized,0.2,0.238675235709903,0.013614327535325543,0.08926551153324366,0.4462600143582504,true,0.27104729488910484
randomized,0.2,0.20460247876476562,0.21370677643854052,-0.03808120299656649,0.3789533002265382,true,0.15752138692858814
randomized,0.2,0.22983080911807244,0.002584273745299015,0.14095630967933181,0.481133703402021,true,0.31443870755977055
randomized,0.2,0.1670326901727523,0.11540729640911684,-0.009170534231605196,0.39824172264814345,true,0.19871607110659995
randomized,0.2,0.2404706091445901,0.012348821741307248,0.11592847218855369,0.5488683744670753,true,0.33250995050927673
randomized,0.2,0.22488936486010827,0.006794222763269131,0.1447118937323043,0.5669866222436057,true,0.35827904242409275
randomized,0.2,0.24875452504106274,0.07198186968281295,0.022290568904785226,0.47785233350842726,true,0.25388874022517716
randomized,0.2,0.1743776395025474,0.02311638369726854,0.06504808728755805,0.47740627256945106,true,0.26712199434188033
randomized,0.2,0.26330061428107193,0.007501756940085924,0.11542942873512586,0.4627998111251805,true,0.2910080384894886
randomized,0.2,0.15388126207070482,0.7901774048898209,-0.17965900570840349,0.238547276028109,true,0.03232385069393784
randomized,0.2,0.13702481241808412,0.04938794685177994,0.043192882146081156,0.4550936796506204,true,0.2539258621551429
randomized,0.2,0.20583515733850405,0.6481197042557478,-0.09041982700342663,0.28611198255812736,true,0.0655156288937857
randomized,0.2,0.20105707563566047,0.27943205970740626,-0.07233599295905849,0.33747242926913323,true,0.13498278049010648
randomized,0.2,0.16474263891169422,0.065503401934208,0.02254550532295201,0.3843499600133303,true,0.20540699455263187
randomized,0.2,0.21557700763147886,0.00005651188836264254,0.31239025862179476,0.7663854578274012,false,0.5376379535768829
randomized,0.2,0.2497358599126388,0.46652307256478287,-0.0525953081757341,0.2003329001699029,false,0.06474461242121494
randomized,0.2,0.2141929786779509,0.010334721725414164,0.10607851545419934,0.4726105056391117,true,0.2915841222879131
randomized,0.2,0.21483088452876362,0.7193391220064373,-0.09722454537027653,0.23898460610969535,true,0.04614466424542699
randomized,0.2,0.21881460378272544,0.8834275811135877,-0.08857316600265984,0.21543964050345038,false,0.033798282034175335
randomized,0.2,0.27172549088264336,0.00001999650876394199,0.2767302444441174,0.6165210218086074,false,0.4492502089262674
randomized,0.2,0.26407925228522977,0.012406923232695766,0.10042338116321306,0.5089813405776658,true,0.3050545733694864
randomized,0.2,0.2335018421380305,0.030440444429792768,0.07283053012228573,0.4930786722141106,true,0.2884632961517974
randomized,0.2,0.20129010293990893,0.12788129636907608,-0.018688148008137163,0.45998269895831406,true,0.22720307885624771
randomized,0.2,0.14285230842644137,0.493874374888849,-0.1310270111592884,0.3036592495530645,true,0.08980715188298784
randomized,0.2,0.23051597483384031,0.0019206810829135446,0.19712996209352862,0.6151451168202151,true,0.41129797359913217
randomized,0.2,0.19538809554838396,0.006043665674632992,0.08642993190824945,0.5094912854252229,true,0.2924013961361325
randomized,0.2,0.2505246571925624,0.00881308640981171,0.0870092380735801,0.44609158359088963,true,0.26870100607833125
randomized,0.2,0.18198572502227933,0.05020817759301588,0.02554840674435661,0.4311176991551864,true,0.2153399511431534
randomized,0.2,0.1979391573688291,0.33151825396858436,-0.08311287675825856,0.3213428353872774,true,0.11933402609602342
randomized,0.2,0.3121268392189395,0.027086318996888847,0.048725528106671336,0.4727153923055344,true,0.24815011739881482
randomized,0.2,0.23814361505672424,5.283563170532801e-6,0.34177126471584346,0.7222316143685305,false,0.5333441609725688
randomized,0.2,0.23389759442326605,0.0034165191257620187,0.1294515783792973,0.47163647755862315,true,0.30456131054900126
randomized,0.2,0.2738698641090208,0.04744398677968609,0.03569566598687812,0.42713071635038824,true,0.23320206863075288
randomized,0.2,0.2274637382230626,0.0768140762520082,0.012650794164264805,0.3985523704984633,true,0.2045655004200157
