method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
naive,0.3,0.28473733335482254,0.0005127629339418134,0.19814710325045976,0.5545135082880956,true,0.37633030576927773
naive,0.3,0.25619501275755,0.00011912467393474676,0.26970351618853666,0.6724355472688557,false,0.4710695317286962
naive,0.3,0.1824779593634549,0.0002205550076296385,0.12760571441490334,0.33244151868159477,true,0.23002361654824904
naive,0.3,0.2663023607884748,0.00005170886083425773,0.17900178674663433,0.42406421502497693,true,0.30153300088580565
naive,0.3,0.3810357819502174,0.016336674740046162,0.0744239387449542,0.3980834604765211,true,0.23625369961073767
naive,0.3,0.2908482944442767,0.00013374394799037088,0.25405023342907934,0.6383730086321706,true,0.44621162103062495
naive,0.3,0.23560962301262295,0.17669622336811996,-0.04104066774851464,0.41840796914724576,true,0.18868365069936557
naive,0.3,0.2202895590938967,0.00004059321428448923,0.16416474037595657,0.38376818466229395,true,0.27396646251912526
naive,0.3,0.2929078401873629,0.00014892376679079356,0.2840758921233914,0.7191433690932771,true,0.5016096306083343
naive,0.3,0.2512726530558749,0.000013325794206166282,0.29078364380721816,0.6437918811075141,false,0.46728776245736614
naive,0.3,0.24313062338025093,0.000014803051219262588,0.19557022377614988,0.43503051807957316,true,0.3153003709278615
naive,0.3,0.26841450978882403,4.865774277092301e-6,0.2135714805204549,0.45371986579479184,true,0.3336456731576234
naive,0.3,0.13370233848094748,0.007767739807804752,0.08605833535080071,0.3643920719313514,true,0.22522520364107607
naive,0.3,0.36258456651575444,3.1620474219649643e-7,0.40882059788149716,0.7965485210996677,false,0.6026845594905824
naive,0.3,0.28002588621761243,5.823710848576109e-14,0.3546038664650575,0.5534306318914205,false,0.454017249178239
naive,0.3,0.4657246480031595,0.0003144815753124113,0.20616005500649046,0.552498928189316,true,0.37932949159790325
naive,0.3,0.289776613487409,0.0005616256954398769,0.19465770177246342,0.5495010977200199,true,0.37207939974624166
naive,0.3,0.2946375378423932,1.563503699277379e-7,0.21159510210626248,0.40494875718101647,true,0.3082719296436395
naive,0.3,0.28847621193466266,1.265085725626569e-6,0.28472844133307906,0.5774106406312544,true,0.4310695409821667
naive,0.3,0.3538027952038482,1.544591522367223e-7,0.2751715466893552,0.5264641801472941,true,0.40081786341832465
naive,0.3,0.3827063486648446,2.705123285058742e-6,0.24460749787465266,0.5086841170128192,true,0.37664580744373594
naive,0.3,0.3709473711289236,0.0059718037591154505,0.14160468086555458,0.5633790391575142,true,0.3524918600115344
naive,0.3,0.21982547672997188,0.002175108526057789,0.17995870264595618,0.596761005277993,true,0.3883598539619746
naive,0.3,0.2906944148405121,0.00627599482960517,0.12468072069610145,0.5016174286591786,true,0.31314907467764
naive,0.3,0.3659780677633885,0.00026610151400560737,0.25550536535314833,0.67548236961758,true,0.46549386748536414
naive,0.3,0.28287971336775714,3.696420024268388e-6,0.24110614977263073,0.5070107902982794,true,0.3740584700354551
naive,0.3,0.40445707182588103,0.00048438239462932005,0.2552992418197239,0.7106573784359194,true,0.4829783101278216
naive,0.3,0.2613439901633709,0.010698193983749403,0.09842689042272273,0.4552061339288748,true,0.2768165121757988
naive,0.3,0.43688257787995344,0.000043896140707625545,0.27147510156601723,0.6373239406513469,true,0.45439952110868204
naive,0.3,0.1439708960880248,0.006259253744115118,0.11173838861392113,0.4492747779758792,true,0.2805065832949002
naive,0.3,0.19863148621870563,7.394388309956138e-8,0.29213558665728784,0.5493416957142456,false,0.42073864118576676
naive,0.3,0.33670756110260996,0.00030510699488612805,0.18799977144550745,0.5025683310132085,true,0.345284051229358
naive,0.3,0.4073204461240177,0.000016593548146688533,0.28827277810804874,0.644582286859057,true,0.4664275324835529
naive,0.3,0.45722657635659564,1.1444471961101843e-11,0.40911526242775825,0.6708454168916149,true,0.5399803396596866
naive,0.3,0.39078161390106847,4.916437031483276e-13,0.3376858361952564,0.5366720781281842,true,0.4371789571617203
naive,0.3,0.3606403973551236,3.1471673515504486e-6,0.23714792740940943,0.49580713304160656,true,0.366477530225508
naive,0.3,0.2553610548120284,0.0018298837569193822,0.18506489759627795,0.5987470254448872,true,0.3919059615205826
naive,0.3,0.2879066037202672,1.8249860201152225e-6,0.2779086123779962,0.5702735701938839,true,0.42409109128594
naive,0.3,0.257490400579825,0.0009753623080233637,0.21625904083969136,0.6467275826057143,true,0.43149331172270283
naive,0.3,0.2180186439400744,0.006493156102009581,0.11643167069059165,0.47209803587254795,true,0.2942648532815698
naive,0.3,0.4343936214970821,3.4751806106586976e-9,0.3609094573539634,0.639447741242109,true,0.5001785992980362
naive,0.3,0.19765381451018962,2.2801163493353263e-6,0.21932446985328757,0.4534290788994817,false,0.33637677437638464
naive,0.3,0.38628385763969864,1.276449231890669e-7,0.39744023809929624,0.756895604863318,false,0.5771679214813071
naive,0.3,0.3159356111896182,0.00005698395614666944,0.20309917259583735,0.48381587411945914,true,0.34345752335764823
naive,0.3,0.3726673476830157,1.5450802275219544e-8,0.33226646769736246,0.6047392803063246,true,0.46850287400184354
naive,0.3,0.43627745698489645,0.0008639213929360803,0.21726461890513554,0.6410372216268869,true,0.42915092026601126
naive,0.3,0.35902184111263535,3.093159388671546e-8,0.3635826060793459,0.6709613485987178,false,0.5172719773390319
naive,0.3,0.40386359414493245,0.00017482908288461921,0.2060388659533693,0.5275786051191086,true,0.36680873553623894
naive,0.3,0.2913900605633994,0.004417474103651098,0.152941424422067,0.5715738152911213,true,0.36225761985659416
naive,0.3,0.1978464377687775,0.000012000030088134534,0.1764339001375725,0.3888277703604719,true,0.2826308352490222
naive,0.3,0.333303951078482,4.448516037143898e-8,0.22429426108046452,0.41708861939706515,true,0.32069144023876484
naive,0.3,0.2985425460840683,4.886196771626381e-7,0.21794518571664273,0.429700163826578,true,0.32382267477161036
naive,0.3,0.25033339072094607,0.00003531945783930539,0.14451253173466622,0.3353391099316567,true,0.23992582083316147
naive,0.3,0.3634880535584406,3.209042363893435e-7,0.3128202986327019,0.6097394547980044,true,0.46127987671535314
naive,0.3,0.3617476619860597,0.00005903001345754961,0.293400266977364,0.7003487359085804,true,0.4968745014429722
naive,0.3,0.2506943917565927,0.05446152093252333,0.03676197805722575,0.47132461770993145,true,0.2540432978835786
naive,0.3,0.2849180649981762,0.042353803852553724,0.05030553813117783,0.47995759419754574,true,0.2651315661643618
naive,0.3,0.284728285578907,0.00014945535559408114,0.23055581537278003,0.583801777803467,true,0.4071787965881235
naive,0.3,0.33930814150820615,3.077861781006497e-6,0.2563346943162215,0.5354971107170394,true,0.3959159025166305
naive,0.3,0.3746207975670898,2.3372910326658177e-15,0.36096589567664294,0.5501399151069124,true,0.4555529053917777
naive,0.3,0.2967149104918509,0.00026584658023473995,0.27854788714464523,0.7363437743944783,true,0.5074458307695617
naive,0.3,0.4201452007694566,5.3879237510810917e-8,0.2848169007161631,0.5318313567567805,true,0.40832412873647184
naive,0.3,0.3707314319718501,0.0019403293114056738,0.216081842577958,0.7048496981918664,true,0.4604657703849122
naive,0.3,0.26104749294648005,0.005187475183806386,0.1368882222520314,0.5283699507618167,true,0.3326290865069241
naive,0.3,0.39240805961437825,0.0004777373087494955,0.19151080565538334,0.5324121603322359,true,0.36196148299380965
naive,0.3,0.397510474672627,7.968674474021505e-11,0.2959546414569064,0.4964358104857316,true,0.396195225971319
naive,0.3,0.3402507568798299,0.000010352840758039683,0.320775345262135,0.7024488293658843,true,0.5116120873140096
naive,0.3,0.35835351208727534,5.5137376254713e-9,0.3534157378875141,0.6311578054492156,true,0.4922867716683649
naive,0.3,0.3534823053563681,0.000050240379591962626,0.21816519257741776,0.5160088360367029,true,0.3670870143070603
naive,0.3,0.2898039687784301,0.0012676609172712202,0.19531199597414245,0.6023952936199326,true,0.3988536447970375
naive,0.3,0.287994137482185,0.007280622790931258,0.11537211123066227,0.48071015262066774,true,0.298041131925665
naive,0.3,0.4047356283525161,0.00007084054986225602,0.32735386899278707,0.7898216310976021,true,0.5585877500451946
naive,0.3,0.2141231543153699,2.125553607902534e-8,0.24733119264075995,0.45297395735026047,false,0.3501525749955102
naive,0.3,0.41420513709489526,4.5822603306840485e-7,0.2817254282066175,0.5544585263333954,true,0.41809197727000647
naive,0.3,0.22494157315241511,0.000016756073707684806,0.1903414172415379,0.4257971578329665,true,0.3080692875372522
naive,0.3,0.3400555954161454,1.862229156513608e-6,0.2544056137570653,0.522393745285359,true,0.3883996795212121
naive,0.3,0.30973302566532623,0.000022956761789352423,0.24713407184466837,0.5611362986080523,true,0.4041351852263603
naive,0.3,0.32259886206479316,0.000026249467084316963,0.3137569400992367,0.7171169967845915,true,0.5154369684419141
naive,0.3,0.3616684975110254,2.1944917574683145e-11,0.294076427810661,0.48573663533508027,true,0.38990653157287064
naive,0.3,0.43205452161143987,1.443902143895435e-10,0.3015611704059026,0.5096976413024396,true,0.40562940585417107
naive,0.3,0.45232444861888793,2.028879916435869e-12,0.39289993356504815,0.6328060843546616,true,0.5128530089598549
naive,0.3,0.27816877146326724,0.016750442737036915,0.1109580941034938,0.5994181611827839,true,0.35518812764313884
naive,0.3,0.37220982907116423,7.520552789837576e-7,0.31875472693965046,0.6362688076928413,true,0.4775117673162459
naive,0.3,0.3585018843780496,1.9916257279296136e-7,0.3332115706339073,0.6415342600112466,true,0.4873729153225769
naive,0.3,0.3301318430942012,0.00032801914053429045,0.26929726752683664,0.7242512268877952,true,0.4967742472073159
naive,0.3,0.4412536008633909,0.000010442868078315039,0.2247461585874402,0.4923411496143342,true,0.3585436541008872
naive,0.3,0.3107338271498375,7.926617548369395e-6,0.27041772019307875,0.5856195972083026,true,0.42801865870069067
naive,0.3,0.254866888923145,0.0009531251487982011,0.17205451052256243,0.513197192023203,true,0.34262585127288275
naive,0.3,0.3570891870546494,6.009687714651943e-6,0.26729741212095437,0.5724938199553293,true,0.41989561603814185
naive,0.3,0.30021594821334585,0.00041239323060970196,0.21405628437266924,0.5871984413817987,true,0.40062736287723394
naive,0.3,0.3000794923582456,0.00012739824517365718,0.21699463424096457,0.5434626836849624,true,0.3802286589629635
naive,0.3,0.3285989824327466,0.00019655558277846216,0.21361641508519408,0.5517058342452488,true,0.38266112466522145
naive,0.3,0.3394063952893406,0.0007677313114046933,0.2352548232049502,0.685385887677737,true,0.4603203554413436
naive,0.3,0.296839987065108,0.0013664190284627528,0.15438603464776152,0.4806227683786955,true,0.3175044015132285
naive,0.3,0.21710539939975357,0.007748262798909678,0.12481285604390749,0.5281531485796306,true,0.326483002311769
naive,0.3,0.3626407247017135,4.154895616727774e-6,0.33026409397810963,0.6974859500268882,true,0.5138750220024989
naive,0.3,0.28711091006107914,0.00018782936777787942,0.21894031144509613,0.5635584097034154,true,0.39124936057425574
naive,0.3,0.43677005871556024,0.00001295806957221199,0.36371316247782604,0.8042610963279619,true,0.583987129402894
naive,0.3,0.3946395402170477,4.617418032838344e-9,0.3212855345961634,0.5720085019495862,true,0.4466470182728748
naive,0.3,0.42154082170860147,0.00007253271229852641,0.20183245101444483,0.4876606650380393,true,0.34474655802624204
naive,0.3,0.2246430774607217,0.00032193855656475204,0.25112094662813306,0.6743088275134284,false,0.4627148870707807
naive,0.3,0.40256342658442196,0.00450965890423139,0.17766279031575674,0.6666405300752454,true,0.42215166019550104
naive,0.3,0.34798606187191566,0.00005059552842731239,0.22844682947521733,0.5405404997480734,true,0.38449366461164536
naive,0.3,0.36901299706999935,0.0003265080177528818,0.19564249841155945,0.5259591936199443,true,0.36080084601575185
naive,0.3,0.1522692092702932,3.022380312259311e-6,0.20445212610102093,0.4268363615335413,false,0.3156442438172811
naive,0.3,0.3434620218736869,0.00006766005604957805,0.2653500101238875,0.6384718842218876,true,0.45191094717288754
naive,0.3,0.3241968080126057,1.9306362138270468e-9,0.40571012323806654,0.7119189326729803,false,0.5588145279555234
naive,0.3,0.28234851474067724,0.0022093707482388316,0.1619444624652742,0.5382631763987142,true,0.3501038194319942
naive,0.3,0.2794959516930503,0.008191233946433488,0.12682902779021774,0.5443807837457509,true,0.33560490576798435
naive,0.3,0.3234967347310343,0.0050147435875224355,0.1280059504587178,0.49064000646569506,true,0.3093229784622064
naive,0.3,0.2935860756389223,0.0010638911526623964,0.14920378815684604,0.45066198851321687,true,0.29993288833503146
naive,0.3,0.3754835212967538,5.883097709656823e-7,0.2966160005216344,0.5878794628139865,true,0.44224773166781045
naive,0.3,0.34570651885343623,0.0009093395520486368,0.17169275898847472,0.509439012794246,true,0.34056588589136033
naive,0.3,0.3200472033804159,1.4765842023088925e-10,0.2989512710038613,0.5054342359686526,true,0.40219275348625694
naive,0.3,0.3360963288525074,1.5209479651860446e-7,0.2522222546540159,0.48237550352487174,true,0.3672988790894438
naive,0.3,0.3622796424476715,4.325203434340537e-6,0.2546690211734307,0.5386397427131364,true,0.39665438194328356
naive,0.3,0.4030195777212559,7.51291602481133e-13,0.6504180224946265,1.0376978428792174,false,0.844057932686922
naive,0.3,0.3746868494317269,0.000944038989267321,0.18724678357730118,0.5579123721219954,true,0.3725795778496483
naive,0.3,0.35617029741224576,0.00007155284194559549,0.3121938699737885,0.7536961389913435,true,0.532945004482566
naive,0.3,0.38239058324361286,1.907294550580998e-12,0.36017404253957913,0.5797465569974856,true,0.4699602997685324
naive,0.3,0.26085802871326536,0.001043516531312269,0.18317955488872742,0.55204666714224,true,0.3676131110154837
naive,0.3,0.3114694782903639,0.0003155784257832058,0.22029159837579504,0.5905418434708373,true,0.40541672092331615
naive,0.3,0.33437629988929934,0.002553286062261892,0.12755565326123713,0.4333793267806629,true,0.28046749002095
naive,0.3,0.335740677484761,2.6281193256298052e-8,0.24734494550969632,0.45493500555209887,true,0.3511399755308976
naive,0.3,0.37610694601239847,1.0324435466033713e-7,0.34873502082088415,0.6608176429950692,true,0.5047763319079767
naive,0.3,0.40056971261662877,0.00003872407888121026,0.25512955237972035,0.5949126401506781,true,0.42502109626519924
naive,0.3,0.3060569357211048,0.003639334762109613,0.14591460013715785,0.5259788656078493,true,0.3359467328725036
