method,delta,true_signal,p,ci_lower,ci_upper,is_contain,mle
polyhedral,0.2,0.18203207149143277,0.477452552315479,-1.0440432828812716,0.44076893199759887,true,-0.1130047015250029
polyhedral,0.2,0.1600309243128688,0.7611254580596067,-3.8407220266529465,0.6296570357943564,true,-1.079254922058637
polyhedral,0.2,0.13549125240513882,0.8774081916490915,-0.1071891688264614,0.1677252338282259,true,-0.012849648000496058
polyhedral,0.2,0.1719936162071055,0.1264661808786881,-0.00008872657955492887,1.460758342921127,true,0.6445500740624657
polyhedral,0.2,0.24596043970200676,0.03186503333142743,0.031207640414999408,0.4865275368288869,true,0.27477545560831373
polyhedral,0.2,0.25520086789463076,0.0067195737913888776,0.16135574640117648,0.5204876231804546,true,0.3506517672360255
polyhedral,0.2,0.17148983064578682,0.3943167321125445,-0.12177909263594375,0.3319071723009831,true,0.0007758947733307099
polyhedral,0.2,0.24788934674376978,0.3833288430416305,-0.09608246875985048,0.31414652614585137,true,0.04180468182819193
polyhedral,0.2,0.25523506329350726,0.03851124799419536,0.02016542254644171,0.40916236188895366,true,0.22995571469073825
polyhedral,0.2,0.15340791489213398,0.8821873376148184,-0.05844835025879245,0.2281970960220341,true,0.04371387883769054
polyhedral,0.2,0.2126292683180439,0.7219593469566374,-0.04772589247131852,0.2948241244464566,true,0.056530287618298425
polyhedral,0.2,0.285563595305563,0.011829556080376391,0.12161564914945795,0.4741246657601621,true,0.3067763754927143
polyhedral,0.2,0.1042040271253355,0.15261208516836988,-0.135654412285735,0.36025722685315914,true,0.14401714271516056
polyhedral,0.2,0.2376808700073817,0.00895729664072431,0.11929694466697208,0.6884787693447807,true,0.38543201541154315
polyhedral,0.2,0.3222257585089237,0.05264836823198615,-0.010076847866218043,2.147606649749705,true,0.8930564404914425
polyhedral,0.2,0.24010301084019114,0.18086675418520548,-0.026230581802718388,0.4646208672704473,true,0.21720989616585493
polyhedral,0.2,0.11841949152857244,0.9928361000453649,-0.10274328298311375,-0.00447113407064977,false,-0.007930462739880389
polyhedral,0.2,0.1968786004241798,0.0019604011771844343,0.08360813667718028,0.5234726905668411,true,0.2591999317793352
polyhedral,0.2,0.23834507548367329,0.609938487677907,-0.09084168731683494,0.3310886262096604,true,0.022321927696943484
